event_date,transactions,value_cad,alerts,observed_fraud,average_risk_score,alert_rate,observed_fraud_rate
2026-01-01,236,27804.329999999998,25,2,0.3682723502210728,0.1059322033898305,0.00847457627118644
2026-01-02,274,36546.72,31,2,0.3850553317378235,0.11313868613138686,0.0072992700729927005
2026-01-03,261,29277.9,39,5,0.3930658871413582,0.14942528735632185,0.019157088122605363
2026-01-04,237,29952.09,32,6,0.36949888579364787,0.1350210970464135,0.02531645569620253
2026-01-05,268,32178.11,29,3,0.3549618881722992,0.10820895522388059,0.011194029850746268
2026-01-06,262,27550.67,26,3,0.3575233215368844,0.09923664122137404,0.011450381679389313
2026-01-07,248,31667.45,33,4,0.3859646704033286,0.13306451612903225,0.016129032258064516
2026-01-08,250,29694.48,29,6,0.3624344412862165,0.116,0.024
2026-01-09,247,30596.51,27,4,0.36326211537000996,0.10931174089068826,0.016194331983805668
2026-01-10,226,24415.81,36,5,0.378395668142653,0.1592920353982301,0.022123893805309734
2026-01-11,232,25630.72,32,3,0.3664857153543718,0.13793103448275862,0.01293103448275862
2026-01-12,255,33167.99,35,3,0.37567898382572174,0.13725490196078433,0.011764705882352941
2026-01-13,253,29844.4,33,7,0.37229098231074653,0.13043478260869565,0.02766798418972332
2026-01-14,250,27278.0,20,1,0.36085556232926186,0.08,0.004
2026-01-15,258,28774.74,32,6,0.37254530344142395,0.12403100775193798,0.023255813953488372
2026-01-16,254,28479.53,37,4,0.3715939366135247,0.14566929133858267,0.015748031496062992
2026-01-17,259,30319.82,40,5,0.3759180341782159,0.15444015444015444,0.019305019305019305
2026-01-18,249,28283.44,24,7,0.3531797009957573,0.0963855421686747,0.028112449799196786
2026-01-19,243,28177.9,30,3,0.36233717157111633,0.12345679012345678,0.012345679012345678
2026-01-20,276,37675.03,35,1,0.36337877511503225,0.12681159420289856,0.0036231884057971015
2026-01-21,234,28778.7,26,2,0.35768429914685385,0.1111111111111111,0.008547008547008548
2026-01-22,255,32599.95,29,5,0.36311690134001284,0.11372549019607843,0.0196078431372549
2026-01-23,295,37513.71,41,3,0.36647219281375304,0.13898305084745763,0.010169491525423728
2026-01-24,216,24017.98,19,3,0.36823054344816136,0.08796296296296297,0.013888888888888888
2026-01-25,280,31928.5,31,0,0.3668414597534419,0.11071428571428571,0.0
2026-01-26,220,23872.34,13,2,0.3449232785058377,0.05909090909090909,0.00909090909090909
2026-01-27,236,26674.71,35,3,0.36016497215300564,0.1483050847457627,0.012711864406779662
2026-01-28,210,28722.88,28,1,0.3649262890531034,0.13333333333333333,0.004761904761904762
2026-01-29,232,27693.21,23,4,0.35508679179695546,0.09913793103448276,0.017241379310344827
2026-01-30,257,34374.34,36,1,0.37319935164952905,0.14007782101167315,0.0038910505836575876
2026-01-31,272,33035.29,25,4,0.34774516909394465,0.09191176470588236,0.014705882352941176
2026-02-01,248,27547.81,27,4,0.3658433561033377,0.10887096774193548,0.016129032258064516
2026-02-02,271,29740.48,37,2,0.359548995222032,0.13653136531365315,0.007380073800738007
2026-02-03,240,34193.88,36,3,0.39098853985258625,0.15,0.0125
2026-02-04,262,28957.32,23,2,0.34979058218241904,0.08778625954198473,0.007633587786259542
2026-02-05,261,31392.71,35,5,0.37437041310829045,0.13409961685823754,0.019157088122605363
2026-02-06,257,28591.95,30,3,0.37064380740572683,0.11673151750972763,0.011673151750972763
2026-02-07,229,28985.38,26,3,0.37484239561069843,0.11353711790393013,0.013100436681222707
2026-02-08,264,33540.9,33,5,0.3738136510723791,0.125,0.01893939393939394
2026-02-09,256,30003.74,37,1,0.37919254439598526,0.14453125,0.00390625
2026-02-10,288,30941.55,25,6,0.3636767256702551,0.08680555555555555,0.020833333333333332
2026-02-11,244,34886.22,38,2,0.3958092746968926,0.1557377049180328,0.00819672131147541
2026-02-12,244,34135.74,25,7,0.36766505809353023,0.10245901639344263,0.028688524590163935
2026-02-13,242,32440.77,35,5,0.3863369885777206,0.1446280991735537,0.02066115702479339
2026-02-14,266,35225.47,27,8,0.35339461162008223,0.10150375939849623,0.03007518796992481
2026-02-15,279,34516.82,31,4,0.3594926883179866,0.1111111111111111,0.014336917562724014
2026-02-16,263,30436.78,34,3,0.3839726298970951,0.12927756653992395,0.011406844106463879
2026-02-17,266,33596.74,29,3,0.3574900587542988,0.10902255639097744,0.011278195488721804
