week_start,transactions,value_cad,alerts,observed_fraud,average_risk_score,alert_rate,observed_fraud_rate
2025-12-29,1008,123581.04,127,15,0.3795425278029027,0.1259920634920635,0.01488095238095238
2026-01-05,1733,201733.75,212,28,0.36664546700130746,0.12233121754183497,0.016156953260242354
2026-01-12,1778,206147.92,221,33,0.368958219668345,0.12429696287964004,0.01856017997750281
2026-01-19,1799,220691.77,211,17,0.36408900136821626,0.11728738187882157,0.009449694274596998
2026-01-26,1675,201920.58,187,19,0.35888046733047685,0.11164179104477612,0.011343283582089553
2026-02-02,1784,215402.62,220,23,0.37018610347762265,0.12331838565022421,0.01289237668161435
2026-02-09,1819,232150.31,218,33,0.3715749881950178,0.11984606926882903,0.018141836173721827
2026-02-16,1785,219969.31,205,26,0.3655986919397942,0.11484593837535013,0.014565826330532213
2026-02-23,1694,197543.33,195,16,0.36548795188713973,0.11511216056670602,0.009445100354191263
2026-03-02,1833,226101.04,215,17,0.363405936750314,0.11729405346426623,0.009274413529732678
2026-03-09,1800,226760.25,234,21,0.3670828339748995,0.13,0.011666666666666667
2026-03-16,1812,218967.59,219,18,0.36495442791415494,0.12086092715231789,0.009933774834437087
2026-03-23,1758,207815.38,203,23,0.3653888853460904,0.11547212741751992,0.013083048919226393
2026-03-30,1771,207576.58,240,21,0.37446324406642745,0.13551665725578768,0.011857707509881422
2026-04-06,1726,218920.35,207,28,0.36654097306597216,0.11993047508690614,0.016222479721900347
2026-04-13,1708,209529.24,218,17,0.36916931342042086,0.12763466042154567,0.009953161592505855
2026-04-20,1756,201975.07,228,19,0.36547236482330697,0.12984054669703873,0.01082004555808656
2026-04-27,1772,226086.05,224,25,0.367390010443785,0.12641083521444696,0.014108352144469526
2026-05-04,1763,212122.95,221,25,0.3650475053888444,0.12535450935904707,0.014180374361883154
2026-05-11,1823,228357.48,213,22,0.36874046690762363,0.11684037301151948,0.012068019747668678
2026-05-18,1810,215348.84,238,18,0.3732396158703058,0.13149171270718232,0.009944751381215469
2026-05-25,1829,228039.33,249,24,0.3737704920588354,0.13613996719518862,0.013121924548933843
2026-06-01,1731,194282.11,197,14,0.36541239115747887,0.11380704794916234,0.008087810514153668
2026-06-08,1773,227478.23,215,28,0.3715635420064183,0.1212633953750705,0.015792442188381276
2026-06-15,1722,229142.72,225,16,0.37533697425066964,0.13066202090592335,0.009291521486643438
2026-06-22,1744,224373.84,211,17,0.3715556948925164,0.12098623853211009,0.00974770642201835
2026-06-29,1749,200679.85,210,18,0.368091719163375,0.12006861063464837,0.010291595197255575
2026-07-06,1749,209646.87,216,32,0.37193284645294505,0.1234991423670669,0.018296169239565466
2026-07-13,1795,208766.2,249,20,0.3697104262512963,0.13871866295264623,0.011142061281337047
2026-07-20,1813,214956.13,214,19,0.36210797650742577,0.11803640375068947,0.010479867622724766
2026-07-27,1749,207276.35,208,24,0.36438762453640405,0.11892510005717553,0.0137221269296741
2026-08-03,1711,220131.14,214,27,0.3730983463772987,0.12507305669199298,0.015780245470485097
2026-08-10,1699,214354.84,231,22,0.3743488920364012,0.13596233078281342,0.012948793407886992
2026-08-17,1764,219347.32,197,12,0.36361689626227317,0.1116780045351474,0.006802721088435374
2026-08-24,765,89513.52,70,9,0.3578396400378771,0.0915032679738562,0.011764705882352941
